"Species","TL","Biomass","Ingestion"
"B. undulatus",24.9999999999993,"525.7 (178.7-1602.7)","11.3 (2.5-64)"
"E. merra",1.99999999999924,"0.1 (0.1-0.2)","141 (42.7-548.4)"
"E. merra",3.00000000000187,"0.3 (0.2-0.6)","90.6 (29-357.3)"
"E. merra",4.00000000000246,"0.7 (0.4-1.4)","63 (21.2-272.3)"
"E. merra",5.00000000000516,"1.4 (0.8-2.8)","49.2 (17.2-194.2)"
"E. merra",6.00000000000189,"2.6 (1.3-5)","39.6 (13.7-160.9)"
"E. merra",6.99999999999993,"4.1 (2.1-8)","33.6 (12.2-136.6)"
"E. merra",8.00000000000161,"6.2 (3.1-12.2)","28 (10.4-108.1)"
"E. merra",8.99999999999674,"8.9 (4.5-18.3)","25.1 (9.5-98.5)"
"E. merra",9.99999999999866,"12.2 (5.9-24.6)","22.4 (8.5-76.9)"
"E. merra",11.0000000000019,"16.6 (8.2-34.3)","20.2 (8.1-70.3)"
"E. merra",12.0000000000043,"21.3 (10.6-45.3)","18.6 (7.6-59.5)"
"E. merra",12.9999999999995,"27.3 (12.9-59.5)","16.5 (6.6-51.3)"
"E. merra",13.9999999999956,"34.1 (16.3-70.7)","15.9 (6.6-46)"
"E. merra",14.9999999999994,"42.4 (21.3-89)","14.8 (5.9-40.8)"
"E. merra",16.0000000000013,"51.8 (24.5-111.8)","14.3 (5.6-40.6)"
"E. merra",17,"62.4 (28.1-137.9)","13.3 (5.1-37)"
"E. merra",17.9999999999983,"74.9 (33.3-168.1)","12.8 (4.8-37.3)"
"E. merra",18.9999999999992,"85.2 (38.2-183.4)","12.5 (4.9-33.9)"
"E. merra",20.0000000000003,"103.8 (47.6-227.1)","12 (4.6-32.1)"
"E. merra",21.0000000000009,"119.2 (53.9-262.6)","11.9 (4.6-31.5)"
"E. merra",22.0000000000005,"134.7 (61.6-305.7)","11.4 (4.4-34.1)"
"E. merra",22.9999999999976,"156.9 (68.7-353.7)","11.5 (4.3-34.7)"
"E. merra",24.0000000000033,"177.8 (80.8-389.6)","11.4 (4.2-31.7)"
"E. merra",25.0000000000017,"199.2 (91.2-437.5)","11.6 (4.4-35.1)"
